scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Ichthyophis kohtaoensis,0,349,陆栖,静水,半水栖,0,1,1,1,,,,,
Andrias davidianus,0,1500,水栖,静水和激流,水栖,1,5~9,1,1,457.75,115,50.45,2,1
Andrias sligoi,0,18000,,,,,6~7,,,,,,,
Batrachuperus daochengensis,0,188.275,水栖,静水和激流,水栖,,,0,0,99.8,25.35,,2,1
Batrachuperus karlschmidti,0,176.75,水栖,静水和激流,水栖,0,5~8,0,0,88.48,24.92,5.145,2,1
Batrachuperus londongensis,0,203.75,水栖,静水和激流,水栖,0,,0,0,97.65,23.45,5.45,2,1
Batrachuperus pinchonii,0,161.5,水栖,静水和激流,水栖,0,5~7,0,0,68.25,16.65,,2,1
Batrachuperus taibaiensis,0,217,,,水栖,,,,,,,,,
Batrachuperus tibetanus,0,188.25,水栖,静水和激流,水栖,0,5~7,0,0,93.65,20.3,4.35,2,1
Batrachuperus yenyuanensis,0,171,水栖,静水和激流,水栖,0,3~4,0,0,78.8,19,,2,1
Hynobius amjiensis,0,162.75,水栖,静水,半水栖,1,12~3,1,0,84.05,18.75,6.1,2,1
Hynobius arisanensis,1,93.25,水栖,急流,半水栖,1,,0,0,54.5,13.25,,2,1
Hynobius chinensis,0,185,水栖,静水,陆栖,0,11~12,0,0,46,11,,2,1
Hynobius formosanus,1,78,水栖,静水和激流,水栖,0,11~1,1,0,53.5,12.5,,2,1
Hynobius fucus,1,91.15,水栖,静水和激流,半水栖,0,冬末春初,1,0,51.85,11.7,2.85,2,1
Hynobius glacialis,1,105.475,水栖,静水和激流,半水栖,0,,1,0,61,12.2,3.2,2,1
Hynobius guabangshanensis,0,138,水栖,静水,陆栖,0,11,1,0,81.4,20.2,5.8,2,1
Hynobius leechii,0,113.5,水栖,静水和激流,陆栖,0,3~4,0,0,62.5,14.15,3.9,3,1
Hynobius maoershanensis,0,150.75,水栖,静水,陆栖,0,11~2,1,0,81.4,19.95,4.2,2,1
Hynobius sonani,1,105.5,水栖,静水和激流,陆栖,0,11~1,1,0,60.5,14.8,,2,1
Hynobius yiwuensis,0,105.75,水栖,静水,陆栖,0,12~2,0,0,61.85,16.75,4.45,2,1
Liua shihi,0,161.5,水栖,静水和激流,水栖,0,3~4,0,0,80.6,20.05,4.3,2,1
Liua tsinpaensis,0,130.5,水栖,静水和激流,陆栖,0,5~6,0,0,66.1,16.8,3.5,2,1
Onychodactylus zhangyapingi,0,152.95,水栖,静水,陆栖,0,,0,0,69.05,14.95,3.5,2,1
Onychodactylus zhaoermii,0,157.2,水栖,静水和激流,陆栖,0,5~6,0,0,71.1,15.8,3.85,2,1
Pachyhynobius shangchengensis,0,166.75,水栖,静水和激流,水栖,0,,0,0,101.55,22.45,6.25,3,1
