"","scientific_name","body_mass","beak_peak_length","wing_length","tail_length","tarsus_length","clutch_num","egg_volume","nest_shape","nest_site","flock_status","migration_status","body_length_log"
"1","Arborophila torqueola",1.27570518653321,18.25,143,66.25,42.25,4,21070.63,"2","1","1","R",5.61586159328373
"2","Arborophila rufipectus",1.3383208645054,19,148.5,69.25,40.25,5,25351.08,"2","1","1","R",5.70627935485479
"3","Arborophila rufogularis",1.0366266544783,17.525,139.75,55.66666667,41.375,4.5,17753.7,"2","1","1","R",5.6011958858811
"4","Arborophila gingica",0.916666666666667,23,148,56,42.66666667,6,17964.38,"2","1","1","R",5.7037824746562
"5","Arborophila atrogularis",0.846153846153846,17.5,134.5,60.5,40.25,4,15466.59,"2","1","1","R",5.56068163101553
"6","Arborophila brunneopectus",1.13152804642166,19.25,135,51.5,38.33333333,4,15137.52,"2","1","1","R",5.55489569394848
"7","Arborophila crudigularis",1.19021739130435,18.5,132.5,53,39.5,7,18360,"2","1","1","R",5.4380793089232
"8","Arborophila ardens",0.849420849420849,17.25,122.75,50.25,36.5,2,12147.93,"2","1","1","R",5.55682806169954
"9","Tropicoperdix chloropus",1.0377358490566,17,153,77,57,4,21867.05,"2","1","1","R",5.57972982598622
"10","Tetrastes bonasia",1.08218793828892,16.25,162.25,133.75,40.75,10,16271.56,"2","1","1","R",5.87633423985435
"11","Tetrastes sewerzowi",0.827977315611722,22.83333333,168.6666667,143.6666667,28.5,6.5,29744.35,"2","1","1","R",5.86552332384465
"12","Falcipennis falcipennis",1.66666666666667,10.75,187.5,117.5,35,8,25067.52,"2","1","1","R",5.96614673912369
"13","Tetrao urogallus",3.78703703703704,41,354.25,250,69.5,8,101518.83,"2","1","1","R",6.69703424766648
"14","Tetrao urogalloides",3.63445378124514,41,329.6666667,275,68.5,7.5,60315.47,"2","1","1","R",6.67624347795539
"15","Lyrurus tetrix",2.4928092042186,26.25,259.5,184.25,54.5,9,36822,"2","1","1","R",6.25670927444083
"16","Lagopus lagopus",1.49683544303797,11.275,206,130,45,7.5,22633.78,"2","1","1","R",5.97888576490112
"17","Lagopus muta",1.11709286675639,8.75,191.5,115,38,9,37011.22,"2","1","1","R",5.91754886415781
"18","Lerwa lerwa",1.51351351351351,23,192,128,39.5,4.5,34111.35,"1,2","1","1","R",5.91350300563827
"19","Tetraophasis obscurus",1.74685314680092,26,204.75,159.5,54,5,31246.68,"2","1","1","R",6.16681743465577
"20","Tetraophasis szechenyii",2.53191489361702,27.33333333,218.6666667,178,54.66666667,5,31246.68,"2","1","1","R",6.1527326947041
"21","Tetraogallus himalayensis",4.4230885925014,28.06666667,274.6666667,182,62.03333333,6.5,115953.6,"1","1","1","R",6.30870542174063
