scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Hylomys suillus,57.8,135,19,24,13.5,332,33,2.4,2,946,食无脊椎动物 invertivores,昼行性 diurnal,3,Wa
Neohylomys hainanensis,61,139.5,39.5,26.5,19.5,319,37,3.3,1.8,887,食无脊椎动物 invertivores,夜行性 nocturnal,2,J
Neotetracus sinensis,49.99,108,67,28.5,16,319,36,4.3,2,846,食无脊椎动物 invertivores,夜行性 nocturnal,1,Sd
Erinaceus amurensis,800,222.5,29.5,44,21,259,36,3~8,1.6,"1,367","食无脊椎动物 invertivores, 食肉 carnivores",夜行性 nocturnal,4,O
Hemiechinus auritus,390,200,23,35.5,35.5,213,38,4,1,940,杂食 omnivores,夜行性 nocturnal,3,D
Mesechinus dauuricus,500,212.5,14.5,,27,283,38,3~7,1.6,"1,096",杂食 omnivores,夜行性 nocturnal,2,Dn
Mesechinus hughi,431,190,18,38.5,24.5,295,39,3.4,1.5,998,杂食 omnivores,夜行性 nocturnal,2,O(Sn)
Mesechinus miodon,490,170,35.5,37.5,29.5,,,,,,杂食 omnivores,,4,
Mesechinus wangi,393.5,208.5,16,46.5,30,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",,2,
Uropsilus aequodonenia,11,75.5,71,15.5,,,,,,,食虫 insectivores,,2,
Uropsilus andersoni,16,74,65.5,15.75,,338,40,3.4,1.1,766,食虫 insectivores,全天活动 cathemeral,1,Hc
Uropsilus atronates,7.4,66,63.5,12.75,,,,,,,食虫 insectivores,,2,
Uropsilus dabieshanensis,7.55,127.5,53.25,12.85,8.5,,,,,,,,2,
Uropsilus gracilis,8.75,69.5,64,14,9.5,334,40,3.4,1.1,703,食无脊椎动物 invertivores,全天活动 cathemeral,3,Sh
Uropsilus investigator,14.76,75,64.5,14.5,,337,41,3.4,1.1,770,食无脊椎动物 invertivores,全天活动 cathemeral,3,
