scientific_name,Adult_svl_cm,Body_mass_g,Maturity_d,Max_longevity_d,Longevity_d,Litter_clutch_size,Trophic_level,Diel_activity,Habitat_breadth_IUCN
Ablepharus bivittatus,,4.382579161,,,,4.00036851,Carnivore,Other,4
Ablepharus budaki,3.942,2,,,,3.5,Carnivore,Other,3
Ablepharus chernovi,3.942,2.9,,,,3.500128771,Carnivore,Other,3
Ablepharus darvazi,,1.510273765,,,,,,Other,2
Ablepharus deserti,,3.886288225,304.4,,,4.5,Carnivore,Other,6
Ablepharus grayanus,,0.599895538,,,,1.5,Carnivore,Other,
Ablepharus kitaibelii,3.942,2.445,182.64,1278.375,,3.75,Carnivore,Other,4
Ablepharus lindbergi,,2.298074324,,,,4.5,,Other,1
Ablepharus pannonicus,,3.113039684,334.84,,,4.000184255,Carnivore,Other,
Ablepharus rueppellii,,2.060980778,,3031.575,,1.8,Carnivore,Other,4
Abronia anzuetoi,,44.53281242,,,,,,Other,1
Abronia aurita,,34.07040949,,,,12,,Other,1
Abronia bogerti,,9.630254395,,,,,,Other,
Abronia campbelli,,35.98746676,,,,8,,Other,1
Abronia chiszari,,5.777199687,,,,,,Other,1
Abronia cuetzpali,,,,,,,,Other,
Abronia deppii,,25.48415126,,,,6,,Other,1
Abronia fimbriata,,39.04204479,,,,4,,Other,1
Abronia frosti,,21.81364956,,,,,,Other,1
Abronia fuscolabialis,,27.88060584,,,,,,,1
Abronia gaiophantasma,,21.81364956,,,,,,Other,1
Abronia graminea,,18.81997335,1095.84,3195.9375,,5.031887755,Carnivore,Other,1
Abronia leurolepis,,18.58902228,,,,,,,1
Abronia lythrochila,,29.54006233,,,,9.5,,Other,1
Abronia martindelcampoi,,25.48415126,,,,4,,,1
Abronia matudai,,21.81364956,,,,,,Other,1
Abronia meledo,,29.54006233,,,,14,,Other,1
Abronia mitchelli,,18.58902228,,,,,,,1
Abronia mixteca,,41.86984191,,1698.4125,,7,Carnivore,Other,1
Abronia montecristoi,,12.18093,,,,,,,1
Abronia oaxacae,,27.06979182,,,,1,,Other,1
Abronia ochoterei,,24.31102005,,,,13,,Other,1
Abronia ornelasi,,14.09644399,,,,,,Other,1
Abronia ramirezi,,12.18093,,,,,,Other,1
Abronia reidi,,15.68375535,,,,,,Other,1
Abronia salvadorensis,,12.60913767,,,,,,Other,1
Abronia smithi,,21.81364956,,,,3.5,,Other,1
Abronia taeniata,,48.09196742,,,,6.5,Carnivore,,1
Abronia vasconcelosii,,29.5,,2191.5,,,Carnivore,Other,
Acanthocercus adramitanus,,135.5594706,,,,8.5,,Other,1
Acanthocercus annectans,,,,,,,Carnivore,Other,
Acanthocercus annectens,,122.6719616,,,,,,,5
Acanthocercus atricollis,13.262,81.495,365.25,3689.025,2191.5,11.36,Carnivore,Other,2
Acanthocercus branchi,,130.3083389,,,,,,Other,
Acanthocercus cyanogaster,10.7,164.3,365.28,,,9.500092638,Carnivore,Other,10
Acanthocercus guentherpetersi,,35.53156593,,,,,,,
Acanthocercus phillipsii,6.7,47.5,,,,,Carnivore,,
Acanthocercus yemensis,,86.84802146,,,,,Omnivore,Other,1
Acanthochelys macrocephala,,2897.343588,,,,,,,
Acanthochelys pallidipectoris,,620.081795,,,,3.5,,,4
Acanthochelys radiolata,,1127.197456,,,,,,,
Acanthochelys spixii,,523.9387875,,2995.05,2995.05,5.03,,Other,
Acanthodactylus aegyptius,,3.309472288,,,,2.499884851,Carnivore,Other,
Acanthodactylus ahmaddisii,,11.19718942,,,,,,Other,2
Acanthodactylus arabicus,,14.8,365.28,,,5.500236264,Carnivore,Other,3
Acanthodactylus aureus,,8.095479496,,,,,Carnivore,Other,
Acanthodactylus bedriagai,6.071,10.56817509,,1461,1004.4375,5,,Other,1
Acanthodactylus beershebensis,9,16.7,365.28,1680.15,,4.9,Carnivore,Other,1
Acanthodactylus blanci,,19.61680138,,,,5,Carnivore,Other,4
Acanthodactylus blanfordii,,9.786186105,365.28,,,4.000184255,Carnivore,Other,
Acanthodactylus boskianus,6.046,13.95,273.96,1935.825,584.4,4.5,Carnivore,Other,
Acanthodactylus boueti,,5.823950421,,,,,,,2
Acanthodactylus busacki,,9.27349087,,,,,,Other,3
Acanthodactylus dumerilii,7.5,7.1,213.08,803.55,1059.225,1.50003019,Carnivore,Other,
Acanthodactylus erythrurus,7.149,13.68864413,426.16,767.025,,3.85,Carnivore,Other,4
Acanthodactylus felicis,,6.406047883,,,,,Carnivore,Other,2
Acanthodactylus gongrorhynchatus,,6.406047883,,,,,Carnivore,Other,1
Acanthodactylus grandis,,24.92297363,,,,,Carnivore,Other,2
Acanthodactylus guineensis,,5.07912331,,,,,,Other,
Acanthodactylus haasi,,6.406047883,,,,,Carnivore,Other,2
Acanthodactylus hardyi,7.5,3.318944576,,1059.225,1059.225,2.7,,Other,
Acanthodactylus harranensis,,19.52169728,,,,,,Other,
Acanthodactylus khamirensis,,2.695767402,,,,,,Other,
Acanthodactylus longipes,7.5,6.412095766,,1059.225,1059.225,2.7,Carnivore,Other,
Acanthodactylus maculatus,6.2,5.6,,1461,1004.4375,3.333496473,Carnivore,Other,4
Acanthodactylus margaritae,,,,,,,,Other,
Acanthodactylus masirae,,3.309472288,,,,,Carnivore,Other,1
Acanthodactylus micropholis,,6.406047883,,,,2.999926591,Carnivore,Other,
Acanthodactylus nilsoni,,9.597003158,,,,,,Other,2
Acanthodactylus opheodurus,6.2,5.6,,,,4.000184255,Carnivore,Other,3
Acanthodactylus orientalis,,6.406047883,,,,,,Other,2
Acanthodactylus pardalis,6.071,6.49,669.68,1461,1004.4375,3.650059971,Carnivore,Other,3
